contrast,correlation,energy,entropy,homogeneity,output
0.730484069,0.792607513,0.088068593,7.540139853,0.76503702,0
0.406403186,0.87635266,0.117659447,7.254698627,0.815166462,0
0.635569853,0.898905093,0.06311622,7.810924632,0.78882787,0
0.814016544,0.860311551,0.059063423,7.75706385,0.751397715,0
0.525291054,0.907818103,0.080637132,7.715683573,0.825796824,0
0.595894608,0.8993541,0.075587905,7.746150793,0.813267719,0
0.894761029,0.8474229,0.062513914,7.757066785,0.762479612,0
0.513465074,0.910508935,0.087141935,7.787785924,0.837871477,0
0.60981924,0.905457568,0.072522863,7.799380375,0.805844056,0
0.581770833,0.887261105,0.078377336,7.737012988,0.812033548,0
0.587530637,0.883954106,0.081005805,7.721242211,0.812317964,0
0.675949755,0.883159955,0.071420455,7.774437351,0.800861162,0
0.316789216,0.902217338,0.128706788,7.353389107,0.86118796,0
0.585125613,0.904634115,0.076333513,7.789702762,0.820646446,0
0.584497549,0.880420119,0.083259398,7.66229822,0.807907475,0
0.608900123,0.874929985,0.08113146,7.656356373,0.800338542,0
0.693367034,0.856465758,0.076064158,7.666237951,0.786058408,0
0.738342525,0.889678981,0.059301117,7.841608439,0.779422378,0
1.023498775,0.845337699,0.052160181,7.857514512,0.740845151,0
0.75546875,0.850817259,0.080909133,7.715419861,0.8012074,0
0.72041973,0.86553657,0.078785689,7.694356943,0.808883163,0
1.015379902,0.830789132,0.05655614,7.775550572,0.74678276,0
1.083164828,0.830509433,0.052039158,7.803502716,0.734197377,0
0.296875,0.908951373,0.133913106,7.350247675,0.873927185,0
1.026317402,0.854272193,0.05852633,7.81574827,0.751199923,0
1.041253064,0.853720001,0.055340168,7.832019843,0.74788975,0
0.748697917,0.901964307,0.068571574,7.866713967,0.806464716,0
0.851685049,0.899223162,0.061523313,7.914345575,0.79905174,0
1.164414828,0.854916922,0.04971878,7.911517561,0.751191716,0
0.671109069,0.921972665,0.061891174,7.918841673,0.805639589,0
0.63526348,0.918809226,0.061971995,7.589132603,0.801230852,0
0.632981005,0.921169299,0.064354673,7.498376908,0.805097164,0
0.570159314,0.919858313,0.065872929,7.724622833,0.811411612,0
0.512300858,0.895601196,0.088787182,7.683359559,0.823048917,0
0.277987132,0.932321696,0.127511523,7.426011207,0.878278442,0
0.651348039,0.901458064,0.066192027,7.852995245,0.806234426,0
0.550704657,0.915338993,0.074800855,7.838801637,0.824769455,0
0.587224265,0.912309997,0.071530296,7.845992393,0.820441432,0
0.649172794,0.901716771,0.068864054,7.832496622,0.811370652,0
0.739093137,0.91452933,0.060901358,7.922137931,0.812063638,0
0.687913603,0.911686495,0.059215238,7.903251684,0.799525888,0
0.734175858,0.9028599,0.059386894,7.88888887,0.793325565,0
0.604932598,0.917798534,0.066508987,7.86623895,0.809829343,0
0.603339461,0.915217461,0.067528928,7.858727532,0.809674224,0
0.688357843,0.877352196,0.088489757,7.695233498,0.81853977,0
0.368841912,0.881579521,0.144577097,7.093770718,0.82929662,0
0.860968137,0.87580351,0.055508778,7.847970991,0.767712163,0
0.747135417,0.886570088,0.058185714,7.798252279,0.771178768,0
0.72231924,0.886571266,0.060007921,7.773298246,0.774470741,0
0.959283088,0.847348001,0.064616309,7.765964765,0.76255274,0
0.724678309,0.884637148,0.074314573,7.794594165,0.813887649,0
0.685125613,0.891669373,0.075196357,7.804220084,0.817224338,0
0.592708333,0.917060494,0.071732589,7.837142908,0.820660379,0
0.579856005,0.91392478,0.083979483,7.810640923,0.840130099,0
1.104963235,0.78320944,0.058409792,7.655042598,0.712829752,0
0.583318015,0.924163119,0.078329938,7.801831142,0.82483124,0
0.39229473,0.892357289,0.117618849,7.28603911,0.820065359,0
0.754810049,0.90077718,0.072779628,7.814784162,0.805660488,0
0.814797794,0.873928703,0.063174102,7.814243153,0.786320101,0
0.407613358,0.881812239,0.125704257,7.512637471,0.855630106,0
0.417570466,0.88230797,0.127295189,7.498936223,0.854801879,0
0.204044118,0.933843271,0.166854836,7.542312045,0.91410769,0
0.435386029,0.907226159,0.104937356,7.658155865,0.85543173,0
0.379978554,0.910986423,0.119114066,7.653743433,0.869516187,0
0.544730392,0.868225412,0.103825239,7.612150189,0.82800143,0
0.242938113,0.958927852,0.13247206,7.683890221,0.903489839,0
0.264185049,0.951927371,0.12662434,7.721095356,0.896656965,0
0.344806985,0.871454579,0.153513715,7.090645891,0.835802696,0
0.298085172,0.957671711,0.125992746,7.724620529,0.90127451,0
0.272794118,0.956212104,0.121477015,7.719699336,0.900042892,0
0.320588235,0.952430344,0.124207979,7.619669071,0.888429841,0
0.511917892,0.895582663,0.093688402,7.709325104,0.835433517,0
0.472671569,0.90412729,0.093924902,7.744476581,0.83893893,0
0.403921569,0.916320034,0.100425929,7.720307956,0.854598141,0
0.451286765,0.926716727,0.099985997,7.487789968,0.851001072,0
0.391988358,0.941531667,0.108104955,7.523164745,0.872713695,0
0.45791973,0.932366713,0.094612223,7.450266001,0.853260059,0
0.453324142,0.906280491,0.095470351,7.647134984,0.847415893,0
0.337959559,0.890881823,0.133777205,7.22007299,0.841568372,0
0.481295956,0.898890738,0.098678878,7.643033064,0.846019637,0
0.51216299,0.90336771,0.090783838,7.708328657,0.842839198,0
0.579212623,0.891307711,0.084356946,7.688443265,0.820528748,0
0.564981618,0.896827964,0.083197783,7.711250444,0.824801624,0
0.662867647,0.909502993,0.086609597,7.71525851,0.814602372,0
0.731387868,0.898184461,0.081570891,7.726334651,0.804955503,0
0.829871324,0.869212252,0.112512839,7.501803143,0.805661619,0
0.827251838,0.862194503,0.124227205,7.423653213,0.811235411,0
0.53325674,0.907112156,0.107967103,7.587678715,0.84317825,0
0.554090074,0.901467451,0.10992354,7.589271392,0.83704635,0
0.482337623,0.869544361,0.105492482,7.276227378,0.801109835,0
0.555698529,0.891808001,0.117943484,7.53434543,0.841284212,0
0.780193015,0.888651351,0.117102336,7.537116208,0.827248191,0
0.911335784,0.8738929,0.062528154,7.801891975,0.773457232,0
1.07723652,0.846277287,0.05484004,7.85825431,0.751402165,0
0.485723039,0.910220753,0.086277601,7.815355696,0.842188266,0
0.535891544,0.905355696,0.081022981,7.839142117,0.834199857,0
0.523008578,0.900476514,0.089890576,7.783300054,0.840596077,0
0.469684436,0.912139548,0.088654696,7.779319858,0.843075214,0
0.420465686,0.917817433,0.093761476,7.757206963,0.85090482,0
0.424693627,0.916071127,0.093314822,7.758438224,0.849552185,0
0.38794424,0.865557546,0.155564413,7.095604792,0.828678002,0
0.516988358,0.906402236,0.085224997,7.790865195,0.837504596,0
0.542555147,0.904166852,0.085066115,7.863365463,0.829387,0
0.559390319,0.903590572,0.081429846,7.873986644,0.825476665,0
0.511917892,0.912334975,0.09830052,7.838577967,0.852207159,0
0.522043505,0.903623042,0.097490695,7.838807659,0.844796408,0
0.470435049,0.911556575,0.09760729,7.853247483,0.856131427,0
0.467218137,0.915592555,0.09345194,7.857974737,0.852513787,0
0.483118873,0.917229323,0.090476209,7.862401561,0.851230232,0
0.492126225,0.917994021,0.082228977,7.873699672,0.830774357,0
0.474188113,0.908650782,0.087755908,7.84666693,0.830837163,0
0.903507966,0.817820573,0.076183928,7.712436621,0.750605232,0
0.224280025,0.929732552,0.184246371,7.090556866,0.896960784,0
0.431954657,0.91760043,0.091196496,7.805662552,0.844208282,0
0.463051471,0.903582122,0.092683518,7.769775617,0.837336237,0
0.48526348,0.908116361,0.089442891,7.801527698,0.835335113,0
0.657536765,0.872604625,0.087838831,7.766139329,0.816989014,0
0.888939951,0.867410042,0.066566011,7.880531776,0.789676631,0
0.477910539,0.911131547,0.097820288,7.746983934,0.834719669,0
0.568137255,0.901563847,0.07963619,7.812361583,0.82129136,0
0.468780637,0.921268884,0.076906976,7.841213851,0.824829453,0
0.345894608,0.930316,0.102760031,7.82054592,0.863305249,0
0.418275123,0.901324267,0.103855966,7.671417211,0.841085835,0
0.189154412,0.933599918,0.190773835,7.011088959,0.910106464,0
0.275612745,0.930366152,0.123331763,7.797399394,0.876655944,0
0.283731618,0.932412923,0.115154349,7.817444468,0.872865605,0
0.384129902,0.915474991,0.094960691,7.835086919,0.834439594,0
0.330790441,0.919524059,0.106656859,7.811975571,0.852460427,0
0.490379902,0.839793382,0.120147719,7.712937939,0.827292433,0
0.484191176,0.84043062,0.119639695,7.709714431,0.827157884,0
0.485723039,0.840821676,0.119293873,7.719390416,0.827364685,0
0.955591299,0.829203596,0.0554847,7.823256456,0.732947195,0
0.972242647,0.82659708,0.05418664,7.837728098,0.729447508,0
0.9921875,0.823287819,0.053631431,7.839543599,0.726880362,0
0.368627451,0.868993868,0.131609979,7.213829957,0.833820976,0
0.889445466,0.841344747,0.057548879,7.835869131,0.746049618,0
0.893964461,0.840279859,0.057625574,7.830997676,0.746964906,0
0.753094363,0.878291174,0.06158904,7.819217055,0.773464563,0
0.438434436,0.922733124,0.088442995,7.838098605,0.847525786,0
0.381893382,0.929931358,0.09356204,7.834882459,0.858523029,0
0.442999387,0.922377205,0.086530517,7.859206067,0.847164522,0
1.131571691,0.840281113,0.05402283,7.850073152,0.742210186,0
0.765487132,0.901542585,0.114526216,7.575349323,0.829461988,0
0.367340686,0.920092823,0.105094506,7.673894831,0.86620481,0
0.41573223,0.913906145,0.097085812,7.714870935,0.855784314,0
0.533103554,0.792320475,0.123483789,7.066591908,0.764989788,0
0.423621324,0.925335957,0.087156995,7.766204011,0.844107435,0
0.454059436,0.930688784,0.096799902,7.541464605,0.855875715,0
0.477726716,0.891586834,0.111941432,7.771709443,0.850724316,0
0.852849265,0.870714533,0.056252133,7.807245785,0.763307292,0
0.947870711,0.888421551,0.051525485,7.935547749,0.770370638,0
0.988005515,0.87849848,0.057872775,7.923665457,0.784118887,0
1.065793505,0.878502474,0.056181821,7.951883649,0.784169913,0
0.606525735,0.907474642,0.072476159,7.780452663,0.817937602,0
1.25703125,0.852780183,0.047261978,7.936240716,0.745233755,0
0.78739277,0.900980137,0.06411517,7.893868356,0.803307511,0
0.36807598,0.875300758,0.131516857,7.215451381,0.83240579,0
1.12901348,0.849972976,0.051113385,7.855118601,0.735399889,0
0.953584559,0.85093784,0.060043815,7.844261124,0.757706072,0
1.066681985,0.826902833,0.060288429,7.776558666,0.755917586,0
0.458057598,0.893321235,0.106214403,7.608194537,0.83528365,0
1.149571078,0.818770527,0.053398729,7.79778871,0.732563171,0
0.501960784,0.914067811,0.081172361,7.78077837,0.829852175,0
0.379963235,0.930821486,0.08904478,7.731297767,0.852454299,0
0.784941789,0.875427188,0.064467242,7.842230314,0.786531133,0
0.766007966,0.871049167,0.067412981,7.784585182,0.790111388,0
0.768995098,0.873963327,0.068932664,7.798588311,0.791828789,0
0.362867647,0.877816259,0.131523017,7.192593337,0.829524101,0
0.625382966,0.878706683,0.077911073,7.710196899,0.802845107,0
0.611550245,0.878716264,0.079691756,7.70268562,0.804288085,0
0.897794118,0.863523989,0.057178054,7.84203211,0.765075572,0
0.717110907,0.890132637,0.066786527,7.825789444,0.798194955,0
0.625658701,0.878195101,0.075424499,7.779731375,0.800714614,0
0.589108456,0.883819439,0.079768922,7.749750557,0.812307496,0
0.529488358,0.894361794,0.087631663,7.694581423,0.825876225,0
0.511504289,0.895264005,0.088814805,7.676122904,0.829786305,0
0.681326593,0.877327348,0.070124421,7.82344323,0.79305913,0
0.636504289,0.886183373,0.072843551,7.750229844,0.796388634,0
0.333716299,0.871262928,0.160031938,7.084509129,0.842424939,0
0.724586397,0.889072838,0.062695751,7.847068512,0.789674771,0
0.736167279,0.885863478,0.062798565,7.854010749,0.789594603,0
1.296568627,0.80838788,0.047594644,7.846754035,0.722733536,0
0.80424326,0.85979081,0.061374909,7.755085491,0.7695481,0
0.829258578,0.857243437,0.060527887,7.761623344,0.767721354,0
0.628201593,0.872448924,0.085797205,7.657137475,0.818636642,0
0.637576593,0.872325772,0.08696055,7.684690778,0.819738599,0
0.620680147,0.884895857,0.083356986,7.719354627,0.822494894,0
0.865916054,0.862074868,0.068674408,7.759810788,0.789661495,0
0.60111826,0.893945461,0.078095959,7.771799087,0.815331904,0
0.371308211,0.89696675,0.118832202,7.285561577,0.822080525,0
0.575628064,0.899920084,0.076924575,7.791435471,0.819824091,0
0.627144608,0.885560868,0.083650119,7.735270715,0.818722171,0
0.635186887,0.885590245,0.083276998,7.738940075,0.818131638,0
0.691636029,0.883138245,0.07616498,7.803652345,0.814197304,0
0.679381127,0.885896166,0.076153601,7.805905881,0.815195057,0
0.559528186,0.897111783,0.090696959,7.86060684,0.830100592,0
0.604457721,0.891981681,0.081759475,7.809229385,0.820985498,0
0.584420956,0.895084236,0.083012664,7.810701932,0.825385008,0
0.877098652,0.87659594,0.061501044,7.874135239,0.788932802,0
0.842340686,0.881407365,0.063555006,7.876851294,0.797259498,0
0.420603554,0.894516292,0.106201049,7.29260358,0.805616064,0
0.893045343,0.874384408,0.061525244,7.871752086,0.789181146,0
0.759543505,0.869824437,0.073143405,7.831994821,0.803171211,0
0.758088235,0.870114564,0.073882428,7.828822498,0.805432022,0
0.551853554,0.910435839,0.073786869,7.724705016,0.804102839,0
0.542156863,0.914388962,0.072762057,7.753528627,0.809710989,0
0.589889706,0.91105497,0.071002258,7.761265523,0.801991677,0
0.448820466,0.908323992,0.103376128,7.573130056,0.848058875,0
1.245358456,0.795648824,0.053750695,7.77327974,0.726778055,0
1.036534926,0.825871275,0.059521223,7.7629235,0.747671824,0
0.945113358,0.806768115,0.064481611,7.56749735,0.732126371,0
0.423360907,0.897057966,0.096341572,7.402111828,0.805110039,0
1.021798407,0.801916723,0.061181244,7.600208012,0.726718239,0
0.775903799,0.847086604,0.077723147,7.613858129,0.783162786,0
0.717938113,0.855464749,0.080659962,7.599626291,0.791778383,0
0.853262868,0.83139516,0.07619223,7.613902686,0.775843947,0
0.637423407,0.879620502,0.090496167,7.569513497,0.788004895,0
1.122457108,0.810905011,0.063419442,7.724061025,0.74973145,0
0.288449755,0.942096986,0.110536955,7.611988307,0.879538909,0
0.265839461,0.95177823,0.114697487,7.483589477,0.892096099,0
0.262959559,0.945738534,0.121970501,7.625916829,0.892744587,0
0.332383578,0.955947312,0.081964858,7.809556831,0.864305045,0
0.587622549,0.919178862,0.082045754,7.772087419,0.82620098,0
0.432153799,0.907267555,0.088955499,7.436642722,0.798041769,0
0.925229779,0.833588789,0.060312874,7.692858244,0.75247115,0
0.681985294,0.88754097,0.080198252,7.70675339,0.810387051,0
0.61942402,0.921864742,0.079877142,7.723919213,0.816472886,0
0.560094975,0.929481315,0.075663336,7.769460078,0.821890829,0
0.909022672,0.904938589,0.105471564,7.621529756,0.800018674,0
0.571246936,0.892746518,0.078674202,7.707257031,0.815802951,0
0.541329657,0.897118211,0.082276211,7.697236703,0.820983711,0
0.734237132,0.888332226,0.07093711,7.735776905,0.799034671,0
0.74330576,0.886696287,0.069831351,7.742063277,0.797249796,0
0.733455882,0.887342832,0.070268601,7.743699844,0.798721916,0
0.306832108,0.929035914,0.106123696,7.436330676,0.852573529,0
0.685784314,0.882292887,0.073859445,7.767919747,0.802386642,0
0.728967525,0.878739818,0.070513255,7.781120532,0.796386409,0
1.134696691,0.794484973,0.06150596,7.740437118,0.738765136,0
0.856188725,0.843111876,0.07009607,7.723438711,0.769853962,0
1.154641544,0.83603334,0.051655583,7.834509572,0.73636923,0
1.107858456,0.832336358,0.05285943,7.807106841,0.741364014,0
0.797028186,0.881220952,0.058597719,7.850828791,0.776825214,0
0.815670956,0.879248577,0.058097613,7.852205138,0.774985593,0
0.955438113,0.874345514,0.051835977,7.862848975,0.743353758,0
0.60145527,0.86150192,0.080933167,7.656279898,0.784841452,0
0.380606618,0.887189064,0.116131353,7.262738519,0.82118796,0
0.556326593,0.85666584,0.086775443,7.589612599,0.789401443,0
0.626960784,0.870610632,0.076004759,7.696666951,0.787588082,0
0.579856005,0.891316046,0.07310499,7.731556903,0.797508681,0
0.587729779,0.8796193,0.07626491,7.681088288,0.794380872,0
0.696706495,0.853793188,0.075025708,7.664981041,0.781251787,0
0.782429534,0.86392653,0.063965374,7.757372561,0.771989817,0
0.780453431,0.866937124,0.064633283,7.76424036,0.776831998,0
0.859788603,0.862204688,0.060784315,7.787186531,0.768320568,0
1.099402574,0.834950506,0.068257638,7.801356634,0.766964432,0
1.044577206,0.845721918,0.069035898,7.804871661,0.77403292,0
0.297227328,0.9011612,0.147206608,7.230164236,0.857691228,0
1.260018382,0.808481683,0.054566909,7.803317132,0.732602197,0
0.806648284,0.893268455,0.056750299,7.811826194,0.760713593,0
0.800199142,0.895750816,0.056650084,7.81937836,0.761592882,0
0.803324142,0.893849368,0.057826306,7.798190263,0.762389195,0
0.638112745,0.877231062,0.070866703,7.693546295,0.791396038,0
0.86908701,0.844830641,0.075894072,7.670263117,0.787945517,0
0.834911152,0.844335393,0.08051213,7.646479484,0.793364481,0
0.972411152,0.831517886,0.062174805,7.724400196,0.754117392,0
0.955821078,0.834338713,0.063723427,7.722726613,0.75879136,0
0.605759804,0.884613883,0.083304464,7.637861255,0.813803761,0
0.214813113,0.91612714,0.195861752,6.954073743,0.894559334,0
0.573299632,0.89559126,0.085163121,7.652485718,0.822793862,0
0.663572304,0.87324195,0.074129081,7.638270744,0.790259395,0
0.633777574,0.882834486,0.088788219,7.585617709,0.804980852,0
0.612852328,0.886514021,0.090292109,7.583875379,0.808012809,0
0.615900735,0.904092822,0.074545702,7.618136561,0.82170241,0
0.480530025,0.925441733,0.082961022,7.564924442,0.84522646,0
0.56473652,0.90304507,0.08648528,7.667513548,0.820219312,0
0.473682598,0.916434644,0.095676964,7.634900531,0.83862643,0
0.919148284,0.855788293,0.074488208,7.691849581,0.773324288,0
1.06004902,0.820384718,0.060140561,7.723563813,0.756699784,0
0.390379902,0.863138115,0.133021462,7.162283884,0.824158752,0
0.760447304,0.862499083,0.073570681,7.769049737,0.792452257,0
0.774770221,0.859447796,0.074501769,7.76767105,0.793331473,0
0.735477941,0.866714965,0.074403554,7.789734903,0.799424931,0
0.7984375,0.878664539,0.065804243,7.834692181,0.794102511,0
0.767754289,0.881133523,0.066456719,7.830913988,0.795557926,0
0.933792892,0.843866992,0.058408916,7.802427045,0.754011438,0
0.853921569,0.855280873,0.061234185,7.800018062,0.765685654,0
0.889108456,0.832975676,0.064858413,7.747342361,0.761791769,0
0.888633578,0.832794809,0.065088103,7.745369416,0.761605027,0
0.756188725,0.896780071,0.061144738,7.865918767,0.787971558,0
0.312745098,0.902060085,0.141929879,7.214916454,0.854408446,0
0.49609375,0.88664983,0.108051021,7.585010405,0.848833231,0
0.920404412,0.888458331,0.073443726,7.731757305,0.78929848,0
0.815257353,0.901713548,0.077498668,7.735290432,0.801990546,0
0.664966299,0.922535933,0.066277366,7.806107785,0.807420744,0
0.668382353,0.919641157,0.066621179,7.829853371,0.807854517,0
0.34129902,0.930967614,0.12604065,7.398554801,0.869879749,0
0.359083946,0.920074249,0.114612364,7.549542416,0.873952206,0
0.378952206,0.919439985,0.119618956,7.569084726,0.875863205,0
0.487637868,0.912017293,0.08757691,7.699532119,0.840379391,0
0.687224265,0.887053536,0.074335596,7.757923896,0.810297254,0
0.263740809,0.906583965,0.163795809,7.132684528,0.874820006,0
0.673575368,0.890067086,0.076761959,7.730233727,0.81072603,0
0.585784314,0.890993558,0.086730168,7.682805487,0.829696436,0
0.563434436,0.895705752,0.087618265,7.692673176,0.833904973,0
0.52421875,0.885154445,0.092908699,7.670814135,0.828919781,0
0.496369485,0.888145259,0.099418741,7.666045197,0.836460631,0
0.468045343,0.886524918,0.106267725,7.616518612,0.840308415,0
0.632506127,0.902436893,0.089587234,7.538787834,0.805594107,0
0.331326593,0.968850705,0.105090537,7.673303181,0.875696742,0
0.34252451,0.968260121,0.104641213,7.678307055,0.872382302,0
0.548085172,0.939854422,0.064747217,7.872357072,0.817707567,0
0.280560662,0.901234018,0.158235156,7.140712618,0.868105341,0
0.550229779,0.936324955,0.06476903,7.865417985,0.820434794,0
0.648973652,0.919443481,0.066168673,7.847241902,0.811221077,0
0.625245098,0.921798978,0.068333739,7.833832354,0.816959398,0
